home,away,h_odds,a_odds,prob,prob_1x,risk_score,status,time,scanned_at,league,ev_percent,fair_odds,result,net_profit
Coritiba,Sao Joseense PR,1.31,12.0,76.3,100.1,6.0,VALUE,"Jutro, 00:30",2026-01-21 17:35,,,,Lost,-10.0
Sport Recife,Decisao PE,1.19,21.0,84.0,104.4,3.0,ELITE,"Dzisiaj, 23:00",2026-01-21 17:35,,,,Lost,-10.0
Confianca SE,Falcon,1.32,8.1,75.8,97.3,7.3,VALUE,"Jutro, 00:00",2026-01-21 17:35,,,,Won,3.2000000000000006
Barcelona (K),Athletic Bilbao (K),1.01,45.0,99.0,103.8,1.0,ELITE,"Dzisiaj, 19:00",2026-01-21 17:43,Other / International,,,Won,0.1
Guadalajara (K),Queretaro (K),1.16,11.0,86.2,101.8,6.3,ELITE,"Jutro, 02:06",2026-01-21 17:47,Unknown League,,,Won,1.5999999999999992
Diablos Tesistan FC,Caja Oblatos CFD,1.44,5.25,69.4,91.7,8.2,VALUE,"Dzisiaj, 19:00",2026-01-21 17:47,Unknown League,,,Won,4.4
Artesanos Metepec FC,Orishas Tepeji,1.41,5.4,70.9,92.2,8.2,VALUE,"Dzisiaj, 21:00",2026-01-21 17:47,Unknown League,,,Won,4.1
Luis Angel Firpo,Zacatecoluca FC,1.38,7.3,72.5,96.0,7.6,VALUE,"Jutro, 02:00",2026-01-21 17:53,International / Other,,,Won,3.799999999999999
La Fiorita,San Marino Academy,1.08,15.0,92.6,104.0,5.0,ELITE,"Dzisiaj, 21:15",2026-01-21 17:53,International / Other,,,Won,0.8000000000000007
Defence Force,Central FC,1.38,5.7,72.5,93.5,8.1,VALUE,"Jutro, 01:00",2026-01-21 17:53,International / Other,,,Won,3.799999999999999
Luis Angel Firpo (R),Zacatecoluca FC (R),1.32,6.2,75.8,95.2,7.9,VALUE,"Dzisiaj, 22:00",2026-01-21 17:57,Salwador - Primera Division (R) - Clasura,,,Lost,-10.0
Artesanos Metepec FC,Orishas Tepeji,1.38,5.85,72.5,93.7,8.1,VALUE,"Dzisiaj, 20:00",2026-01-21 18:30,Meksyk - Copa Conecta,0.04,,,
Luis Angel Firpo (R),Zacatecoluca FC (R),1.32,6.2,75.8,95.2,7.9,VALUE,"Dzisiaj, 21:00",2026-01-21 18:30,Salwador - Primera Division (R) - Clasura,0.04,,,
Luis Angel Firpo,Zacatecoluca FC,1.39,7.3,71.9,95.8,7.6,VALUE,"Jutro, 01:00",2026-01-21 18:30,Salwador - Primera Division - Clausura,-0.04,,,
La Fiorita,San Marino Academy,1.08,15.0,92.6,104.0,5.0,ELITE,"Dzisiaj, 20:15",2026-01-21 18:30,San Marino - Campionato Sammarinese,0.01,,,
Defence Force,Central FC,1.38,5.7,72.5,93.5,8.1,VALUE,"Jutro, 00:00",2026-01-21 18:30,Trynidad i Tobago - Pro League,0.04,,,
